127.0.0.1 - - [13/Feb/2018:22:20:51 +0800] "GET / HTTP/1.1" 200 27249
0:0:0:0:0:0:0:1 - - [13/Feb/2018:22:40:19 +0800] "GET / HTTP/1.1" 200 3702
0:0:0:0:0:0:0:1 - - [13/Feb/2018:22:40:19 +0800] "GET /jsutils/js/com.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2018:22:40:19 +0800] "GET /jsutils/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2018:22:40:20 +0800] "GET /jsutils/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2018:22:40:20 +0800] "GET /jsutils/img/pic/shangpingdemo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2018:22:40:20 +0800] "GET /jsutils/img/pic/xiaotubiao.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2018:22:40:20 +0800] "GET /jsutils/img/pic/ad200x75.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2018:22:40:20 +0800] "GET /jsutils/img/pic/hot.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2018:22:40:20 +0800] "GET /jsutils/img/pic/logo-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2018:22:40:20 +0800] "GET /jsutils/img/gray/bg_h38.gif HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [13/Feb/2018:22:40:20 +0800] "GET /jsutils/img/gray/btn70x21.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2018:22:40:20 +0800] "GET /jsutils/img/gray/bg_h2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2018:22:40:20 +0800] "GET /jsutils/img/gray/h2_hot.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2018:22:40:20 +0800] "GET /jsutils/img/gray/num2.png HTTP/1.1" 304 -
